"EmriKandidatit","Data","NrLike","NrReaction","NrKomenteve","NrShare","nrPosteve","Partia","Komuna"
"SelatinRetkoceriVV","2017-10-23","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Lipjan"
"ProfDrBeqirSadikaj","2017-10-23","0","0","0","0","0","PDK","Istog"
"KTAP.KOSOVA","2017-10-23","0","0","0","0","0","KTAP","Mamusha"
"DrHatimBaxhaku","2017-10-23","0","0","0","0","0","LDK","Prizren"
"QendronKastrati10","2017-10-23","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Kamenica"
"533546846720711","2017-10-23","0","0","0","0","0","NISMA","MalishevÃ«"
"HajrushKurtajOfficial","2017-10-23","0","0","0","0","0","AAK","KaÃ§anik"
"548957518774900","2017-10-23","0","0","0","0","0","PDK","FushÃ« KosovÃ«"
"ldkjunikfaqjazyrtare","2017-10-23","0","0","0","0","0","LDK","Junik"
"bnurboja","2017-10-23","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Peja"
"ZenunPajazitiOfficial","2017-10-23","0","0","0","0","0","PDK","Gjilan"
"IsmetHajrullahuPDK","2017-10-23","0","0","0","0","0","PDK","Lipjan"
"1555763194717660","2017-10-22","1012","1021","117","36","1","AAK","Istog"
"1891305244219623","2017-10-22","1398","1402","165","20","3","AAK","DeÃ§an"
"1914605832085405","2017-10-22","201","204","7","13","3","SL","Partesh"
"1934481086825941","2017-10-22","260","274","12","6","1","LÃ«vizja VETÃ‹VENDOSJE!","SuharekÃ«"
"491857897815166","2017-10-22","326","327","14","11","1","PDK","PodujevÃ«"
"505468136208097","2017-10-22","455","458","35","2","1","LDK","Istog"
"533546846720711","2017-10-22","462","465","44","18","2","NISMA","MalishevÃ«"
"abrashiarban","2017-10-22","5137","5181","234","37","1","LDK","Prishtina"
"Agim.Bahtirii","2017-10-22","3641","3746","476","106","5","AKR","Mitrovica"
"AgimVeliu","2017-10-22","1108","1120","101","11","1","LDK","PodujevÃ«"
"Agron.Avdijaj10","2017-10-22","232","237","10","10","1","LÃ«vizja VETÃ‹VENDOSJE!","Istog"
"AjetPotera2017","2017-10-22","1075","1153","258","17","4","LÃ«vizja VETÃ‹VENDOSJE!","PodujevÃ«"
"BekimHamezJashari","2017-10-22","13301","13722","2457","520","8","KP","Skenderaj"
"BesimIlaziPDK","2017-10-22","492","494","46","13","1","PDK","KaÃ§anik"
"BlerandKadrijajofficial","2017-10-22","173","173","7","0","1","PDK","DeÃ§an"
"BlerimiperSuhareke","2017-10-22","343","345","25","7","1","PDK","SuharekÃ«"
"bnurboja","2017-10-22","81","83","3","5","1","LÃ«vizja VETÃ‹VENDOSJE!","Peja"
"BurimBerishaOfficial","2017-10-22","5806","5999","1490","289","4","LDK","FushÃ« KosovÃ«"
"Dr.IdrizVehapi","2017-10-22","584","591","17","7","2","PDK","Rahovec"
"DrHatimBaxhaku","2017-10-22","257","259","62","1","3","LDK","Prizren"
"fatmirgashipeje","2017-10-22","773","778","66","5","1","AAK","Peja"
"FatmirRashitiVoto54","2017-10-22","749","756","35","21","2","KP","Shtime"
"gazmuhaxheri","2017-10-22","7701","7811","1058","218","2","LDK","Peja"
"gradonacelnikjablanovic","2017-10-22","5","5","0","0","1","PKS","Leposaviq"
"hazirilutfi","2017-10-22","4606","4617","169","22","4","LDK","Gjilan"
"imri.ahmeti","2017-10-22","1526","1533","110","3","1","LDK","Lipjan"
"IsmetHajrullahuPDK","2017-10-22","324","325","6","2","2","PDK","Lipjan"
"LirakCelaj.ks","2017-10-22","478","493","66","5","1","PDK","Prishtina"
"LvvKacanik","2017-10-22","256","257","7","1","1","LÃ«vizja VETÃ‹VENDOSJE!","KaÃ§anik"
"LVVKline","2017-10-22","43","43","1","2","1","LÃ«vizja VETÃ‹VENDOSJE!","KlinÃ«"
"mhaskukaa","2017-10-22","457","477","10","1","1","LÃ«vizja VETÃ‹VENDOSJE!","Prizren"
"mimozakusari","2017-10-22","3063","3164","212","19","2","ALT","Gjakova"
"oliverivanovickos","2017-10-22","100","110","9","6","9","IQ","Mitrovica Veriore"
"pdkmalisheva","2017-10-22","171","175","6","2","2","PDK","MalishevÃ«"
"pdknaimismajli","2017-10-22","456","456","16","8","1","PDK","Shtime"
"ProfDrBeqirSadikaj","2017-10-22","606","607","12","11","1","PDK","Istog"
"QendronKastrati10","2017-10-22","2991","3155","221","42","2","LÃ«vizja VETÃ‹VENDOSJE!","Kamenica"
"RexhepKadriu.rks","2017-10-22","152","152","0","0","4","AAK","Gjilan"
"sabihashalaofficial","2017-10-22","480","482","29","6","1","PDK","Peja"
"safetkamberipermitrovicen","2017-10-22","391","391","11","8","1","LDK","Mitrovica"
"SamiKurteshi13","2017-10-22","297","304","19","4","1","LÃ«vizja VETÃ‹VENDOSJE!","Gjilan"
"SelatinRetkoceriVV","2017-10-22","53","53","1","0","1","LÃ«vizja VETÃ‹VENDOSJE!","Lipjan"
"selimpacolliofficial","2017-10-22","1834","1854","60","36","1","AKR","Prishtina"
"selimshabanldk47","2017-10-22","204","204","2","4","1","LDK","Shtime"
"shaqirtotaj","2017-10-22","1772","1792","115","34","2","PDK","Prizren"
"ShkelqimMJakupi","2017-10-22","248","248","8","4","1","LDK","KaÃ§anik"
